customer_id,Anomaly Occurrences,Anomaly Datasets,country,province,city,industry_code,employee_count,sales,established_date,onboard_date
SYNCID0000000795,2,"eft, wire",CA,AB,MORINVILLE,7771,3.0,2296729.0,2000-10-21,2000-10-27
SYNCID0000000891,3,"card, cheque, wire",CA,ON,AURORA,7215,0.0,0.0,2016-01-02,2016-02-21
SYNCID0000000051,2,"eft, abm",CA,ON,WATERLOO,4013,3.0,117153.0,2014-01-29,2014-05-03
SYNCID0000000065,3,"card, eft, abm",CA,ON,WASAGA BEACH,6121,6.0,0.0,2020-10-21,2020-12-15
SYNCID0000000067,3,"emt, card, abm",CA,ON,OTTAWA,6231,6.0,734149.0,,2006-12-22
SYNCID0000000198,3,"emt, cheque, abm",CA,SK,OUTLOOK,9639,1.0,122569.0,2013-06-13,2013-09-19
SYNCID0000000213,2,"cheque, abm",CA,QC,SAINT-JEROME,4013,,0.0,2023-12-11,2023-12-21
SYNCID0000000260,3,"emt, eft, abm",CA,ON,CARLETON PLACE,4219,,0.0,2023-03-15,
SYNCID0000000265,2,"eft, abm",CA,ON,GEORGETOWN,6031,1.0,3543852.0,2006-06-06,2016-07-10
SYNCID0000000291,2,"eft, abm",CA,,other,9631,10.0,1456493.0,2015-01-16,2018-10-27
SYNCID0000000313,3,"emt, cheque, abm",CA,,other,7292,,0.0,2023-02-04,2023-10-18
SYNCID0000000519,2,"eft, abm",CA,,other,4277,1.0,82859.0,,2018-12-03
SYNCID0000000601,2,"eft, abm",CA,NS,HALIFAX,4411,3.0,0.0,2023-07-15,
SYNCID0000000805,2,"cheque, abm",CA,ON,GODERICH,9999,2.0,1.0,2020-05-15,
SYNCID0000000841,2,"card, abm",CA,ON,RICHMOND HILL,8651,0.0,0.0,,
SYNCID0000000851,2,"eft, abm",CA,NB,SAINT JOHN,4275,1.0,0.0,,2012-05-20
SYNCID0000000866,3,"card, eft, abm",CA,ON,BELLEVILLE,7761,1.0,0.0,2023-11-19,2023-12-22
SYNCID0000000868,2,"eft, abm",CA,,other,other,2.0,724112.0,2007-11-04,2007-11-10
SYNCID0000000890,3,"emt, card, abm",CA,ON,NEPEAN,7761,2.0,275353.0,,2013-08-03
SYNCID0000000959,2,"cheque, abm",CA,AB,CALGARY,9611,2.0,1.0,2020-08-07,2023-01-21
SYNCID0000000996,2,"card, abm",CA,ON,DUNDAS,9642,1.0,25914.0,2005-05-01,2005-06-05
SYNCID0000001018,2,"cheque, abm",CA,ON,BARRIE,7759,1.0,0.0,2023-09-26,
SYNCID0000001046,3,"cheque, eft, abm",CA,QC,MONTREAL,7799,1.0,59653.0,2015-08-31,2018-01-24
SYNCID0000001049,2,"card, abm",CA,NS,TRURO,7292,0.0,0.0,2019-05-28,2023-02-02
SYNCID0000001085,2,"eft, abm",CA,AB,CALGARY,7771,5.0,,2021-08-20,2022-11-11
SYNCID0000001099,2,"eft, abm",CA,ON,BELLEVILLE,other,0.0,0.0,2012-11-16,2013-04-04
SYNCID0000001193,2,"eft, abm",CA,,other,9799,1.0,36271.0,2017-09-08,
SYNCID0000001202,2,"card, abm",CA,ON,BRAMPTON,other,1.0,0.0,,2021-12-14
SYNCID0000001326,2,"emt, abm",CA,ON,OTTAWA,4299,1.0,173678.0,2006-04-16,
SYNCID0000001574,2,"emt, abm",CA,,other,7751,,,1975-07-01,2004-12-01
SYNCID0000001743,2,"emt, abm",CA,ON,ETOBICOKE,9141,2.0,0.0,2022-05-28,
SYNCID0000000016,2,"cheque, eft",CA,ON,TRENTON,6312,1.0,,2012-12-27,2012-03-12
SYNCID0000000071,2,"cheque, eft",CA,QC,MONTREAL,other,4.0,0.0,2022-02-02,
SYNCID0000000094,3,"emt, cheque, card",CA,SK,SASKATOON,7752,2.0,,2014-07-29,2018-08-13
SYNCID0000000117,2,"emt, cheque",CA,,other,4214,,,,
SYNCID0000000127,2,"card, cheque",CA,,other,4011,1.0,180569.0,2006-10-29,2014-02-20
SYNCID0000000140,2,"emt, cheque",CA,ON,TORONTO,9611,0.0,0.0,2014-05-30,2014-06-23
SYNCID0000000205,2,"cheque, eft",CA,QC,BROSSARD,9212,20.0,2355974.0,2000-01-20,2007-09-09
SYNCID0000000221,3,"emt, cheque, card",CA,BC,COQUITLAM,7721,1.0,277040.0,2020-04-30,2020-09-08
SYNCID0000000241,2,"card, cheque",CA,AB,YELLOWHEAD COUNTY,other,1.0,131538.0,2014-10-19,2015-10-01
SYNCID0000000247,2,"cheque, eft",CA,BC,FERNIE,0911,1.0,,1996-08-27,
SYNCID0000000281,2,"cheque, eft",CA,NB,DIEPPE,7215,0.0,,,
SYNCID0000000288,2,"emt, cheque",CA,ON,MISSISSAUGA,4011,4.0,1570625.0,,2010-04-12
SYNCID0000000309,2,"card, cheque",CA,AB,CALGARY,9799,2.0,565476.0,2008-09-03,
SYNCID0000000310,2,"card, cheque",CA,,other,other,1.0,0.0,2020-05-17,
SYNCID0000000326,2,"cheque, eft",CA,AB,CALGARY,4013,1.0,241854.0,2017-04-17,2017-09-01
SYNCID0000000340,2,"card, cheque",CA,ON,TORONTO,4299,3.0,141702.0,2019-07-09,
SYNCID0000000355,2,"cheque, eft",CA,SK,REGINA,6412,,0.0,,2014-08-07
SYNCID0000000385,2,"emt, cheque",CA,AB,CALGARY,4233,1.0,0.0,2021-06-07,2021-10-10
SYNCID0000000386,3,"emt, cheque, eft",CA,AB,EDMONTON,7761,10.0,,2000-06-09,2001-11-18
SYNCID0000000413,2,"emt, cheque",CA,AB,CALGARY,8667,2.0,,2023-08-12,2023-09-07
SYNCID0000000460,2,"emt, cheque",CA,BC,KELOWNA,7759,,0.0,2022-11-14,2022-12-03
SYNCID0000000487,3,"emt, cheque, card",CA,ON,OTTAWA,0219,1.0,0.0,2022-07-14,2022-12-06
SYNCID0000000496,2,"emt, cheque",CA,,other,7211,1.0,0.0,2021-01-05,2021-07-05
SYNCID0000000616,3,"card, cheque, eft",CA,AB,EDMONTON,7771,1.0,919651.0,2020-09-02,2020-11-20
SYNCID0000000668,2,"card, cheque",CA,,other,5622,1.0,0.0,2019-12-04,2019-12-26
SYNCID0000000676,3,"card, cheque, eft",CA,ON,MILTON,7511,0.0,0.0,2014-01-14,2016-02-04
SYNCID0000000716,2,"card, cheque",CA,ON,OAKVILLE,other,,,2019-01-26,2019-09-25
SYNCID0000000776,2,"cheque, eft",CA,,other,7611,,,,2014-12-19
SYNCID0000000860,3,"emt, cheque, eft",CA,ON,WOODBRIDGE,9726,1.0,53582.0,,2012-10-03
SYNCID0000000919,2,"cheque, eft",CA,,other,other,0.0,0.0,1978-02-09,1992-12-01
SYNCID0000000932,2,"cheque, eft",CA,ON,BRAMPTON,4261,1.0,,2020-03-31,2020-11-24
SYNCID0000000937,2,"cheque, eft",CA,ON,OAKVILLE,0112,1.0,0.0,2020-04-14,2020-06-05
SYNCID0000000991,3,"card, cheque, eft",CA,ON,WOODBRIDGE,7215,1.0,3.0,2018-10-02,2019-09-03
SYNCID0000001007,2,"card, cheque",CA,AB,CALGARY,7759,0.0,,1986-07-21,1991-11-24
SYNCID0000001009,2,"cheque, eft",CA,,other,6031,1.0,116990.0,,2019-07-03
SYNCID0000001019,2,"cheque, eft",CA,BC,LANGLEY,other,1.0,43121.0,,2019-10-31
SYNCID0000001050,3,"card, cheque, eft",CA,ON,MISSISSAUGA,9212,3.0,758927.0,2011-01-24,2011-08-01
SYNCID0000001059,4,"emt, cheque, eft, card",CA,,other,4013,1.0,222274.0,2018-10-30,2018-12-14
SYNCID0000001066,2,"card, cheque",CA,ON,OTTAWA,7761,3.0,1614143.0,2020-08-02,2020-12-10
SYNCID0000001077,3,"card, cheque, eft",CA,ON,SCARBOROUGH,8652,2.0,457833.0,2000-03-17,2004-04-12
SYNCID0000001083,2,"cheque, eft",CA,ON,RICHMOND HILL,8652,2.0,749582.0,2008-10-23,2014-06-18
SYNCID0000001088,2,"emt, cheque",CA,ON,PICKERING,9953,0.0,0.0,2016-06-20,2017-11-29
SYNCID0000001119,2,"cheque, eft",CA,,other,other,30.0,1452964.0,2019-03-31,2019-04-11
SYNCID0000001175,2,"cheque, eft",CA,QC,QUEBEC,6413,2.0,510440.0,2013-11-08,2013-12-04
SYNCID0000001255,2,"card, cheque",CA,ON,WINDSOR,9799,2.0,145835.0,2014-11-10,
SYNCID0000001264,2,"cheque, eft",CA,,other,other,2.0,449424.0,2001-02-07,2001-02-22
SYNCID0000001343,2,"card, cheque",CA,AB,EDMONTON,8653,1.0,,2012-02-03,2011-11-19
SYNCID0000001364,2,"card, cheque",CA,NB,FREDERICTON,5219,0.0,333013.0,1974-08-10,1994-12-13
SYNCID0000001382,2,"card, cheque",CA,,other,9659,2.0,584362.0,2012-07-07,
SYNCID0000001436,2,"card, cheque",CA,,other,9121,4.0,,1995-06-28,1995-07-20
SYNCID0000001438,2,"emt, cheque",CA,ON,MEAFORD,8639,,156884.0,1999-04-15,2007-03-31
SYNCID0000001443,2,"card, cheque",CA,,other,7215,1.0,1.0,,2021-10-22
SYNCID0000001464,2,"emt, cheque",CA,ON,,6032,15.0,,1980-12-01,1991-03-19
SYNCID0000000011,2,"card, eft",CA,,other,other,1.0,40498.0,1981-11-03,
SYNCID0000000019,2,"card, eft",CA,BC,COQUITLAM,0112,1.0,214530.0,2021-07-06,
SYNCID0000000056,2,"card, eft",CA,AB,ROCKY MTN HOUSE,7721,1.0,965321.0,2001-12-29,2002-01-01
SYNCID0000000076,2,"card, eft",CA,ON,BRAMPTON,6599,2.0,0.0,2023-09-28,
SYNCID0000000083,3,"emt, card, eft",CA,AB,EDMONTON,7215,1.0,36025.0,2018-12-12,2018-12-21
SYNCID0000000099,2,"emt, eft",CA,ON,ACTON,0112,2.0,683362.0,1996-12-10,1996-12-19
SYNCID0000000113,2,"emt, eft",CA,ON,RICHMOND HILL,6581,,40287.0,2007-05-22,2007-07-29
SYNCID0000000124,2,"emt, eft",CA,ON,TORONTO,7215,1.0,56334.0,,2005-12-29
SYNCID0000000182,2,"emt, eft",CA,ON,TORONTO,7751,,172566.0,2020-09-30,2020-11-10
SYNCID0000000256,2,"card, eft",CA,ON,TORONTO,9712,4.0,,2020-11-15,2020-12-13
SYNCID0000000273,2,"emt, eft",CA,ON,OAKVILLE,6031,,0.0,2022-09-01,2022-11-24
SYNCID0000000294,2,"card, eft",CA,BC,CAMPBELL RIVER,4275,0.0,0.0,,2016-12-21
SYNCID0000000383,3,"emt, card, eft",CA,MB,WINNIPEG,8669,,0.0,2021-04-09,2021-07-26
SYNCID0000000448,3,"emt, card, eft",CA,ON,BRAMPTON,6412,0.0,0.0,2017-05-22,2017-10-24
SYNCID0000000551,2,"emt, eft",CA,ON,TECUMSEH,other,1.0,,2023-02-26,
SYNCID0000000569,3,"emt, card, eft",CA,,other,other,0.0,0.0,1990-06-04,2004-12-04
SYNCID0000000638,2,"card, eft",CA,,other,4013,2.0,186868.0,2022-08-30,2023-01-01
SYNCID0000000814,2,"emt, eft",CA,AB,EDMONTON,4561,1.0,264322.0,2010-06-20,2010-08-12
SYNCID0000000839,2,"emt, eft",CA,AB,EDMONTON,9953,2.0,228245.0,2015-08-05,
SYNCID0000000843,2,"emt, eft",CA,AB,CALGARY,7771,1.0,137996.0,2019-11-28,2019-12-26
SYNCID0000000900,2,"emt, eft",CA,,other,other,,192125.0,,
SYNCID0000000940,2,"card, eft",CA,ON,NEW LISKEARD,other,3.0,83649.0,2020-02-06,2020-03-01
SYNCID0000000992,2,"card, eft",CA,ON,ANCASTER,8661,1.0,68641.0,2021-01-17,2022-04-01
SYNCID0000001045,2,"card, eft",CA,AB,EDMONTON,7752,10.0,,2007-01-25,
SYNCID0000001064,2,"card, eft",CA,ON,RICHMOND HILL,4569,,141935.0,2006-02-02,2006-02-06
SYNCID0000001086,2,"emt, eft",CA,ON,MISSISSAUGA,7771,1.0,69235.0,,2022-12-25
SYNCID0000001113,2,"card, eft",CA,ON,TORONTO,8651,1.0,59341.0,2023-04-06,2023-07-20
SYNCID0000001163,2,"card, eft",CA,AB,EDMONTON,7752,,1733374.0,2007-04-18,2007-12-18
SYNCID0000001192,2,"card, eft",CA,ON,BRAMPTON,7759,1.0,0.0,,2019-02-16
SYNCID0000001241,2,"emt, eft",CA,ON,TORONTO,7215,0.0,0.0,,
SYNCID0000001256,2,"card, eft",CA,MB,WINNIPEG,other,2.0,2381648.0,2020-12-30,2021-11-22
SYNCID0000000116,2,"emt, card",CA,AB,CALGARY,7761,1.0,240032.0,,2017-04-21
SYNCID0000000165,2,"emt, card",CA,ON,TORONTO,4275,0.0,0.0,2014-09-21,2016-08-16
SYNCID0000000312,2,"emt, card",CA,ON,KINGSTON,other,2.0,183299.0,2016-02-04,2016-06-30
SYNCID0000000352,2,"emt, card",CA,ON,WASAGA BEACH,8521,0.0,0.0,2016-05-07,
SYNCID0000000394,2,"emt, card",CA,ON,TORONTO,4561,1.0,0.0,2023-08-11,2023-08-14
SYNCID0000000480,2,"emt, card",CA,,other,3299,2.0,228403.0,2003-03-25,2003-06-28
SYNCID0000001039,2,"emt, card",CA,BC,BURNABY,other,6.0,,2020-04-17,2020-08-22
SYNCID0000001152,2,"emt, card",CA,BC,DAWSON CREEK,7749,2.0,,2010-04-25,2009-07-09
SYNCID0000001206,2,"emt, card",CA,ON,KINGSTON,9861,1.0,0.0,2022-04-20,
SYNCID0000001245,2,"emt, card",CA,,other,9999,,,2012-07-22,2014-04-03
SYNCID0000001442,2,"emt, card",CA,BC,,4013,,1078888.0,2015-01-04,2015-06-06
